,T,V,V_c,I,P,V_gen,Mediciones p/s,Fecha,Periodo
59,0.16040831,194.68090619923018,0.00139,9.391891891891892e-08,0.192,,,,
60,0.18286547,221.93572854065417,0.002085,1.4087837837837837e-07,0.191,,,,
61,0.20791706,252.34141034225513,0.000695,4.695945945945946e-08,0.193,,,,
62,0.23048581,279.73166580078424,0.00139,9.391891891891892e-08,0.195,,,,
63,0.2498464,303.2289778600651,0.00139,9.391891891891892e-08,0.195,,,,
64,0.27401226,332.558288258193,0.00139,9.391891891891892e-08,0.195,,,,
65,0.29886857,362.7262701390278,0.000695,4.695945945945946e-08,0.195,,,,
66,0.32103281,389.6255850993025,0.00139,9.391891891891892e-08,0.195,,,,
67,0.34058868,413.3599020793494,0.00139,9.391891891891892e-08,0.195,,,,
68,0.36506838,443.0701097753741,0.00139,9.391891891891892e-08,0.195,,,,
69,0.38967362,472.9326812452258,0.00139,9.391891891891892e-08,0.195,,,,
70,0.41102187,498.8430459489664,0.000695,4.695945945945946e-08,0.195,,,,
71,0.43217485,524.5150278686123,0.00139,9.391891891891892e-08,0.195,,,,
72,0.45605476,553.4979851456162,0.000695,4.695945945945946e-08,0.195,,,,
73,0.48042985,583.0819261212323,0.0,0.0,0.195,,,,
74,0.49935803,606.0537413688146,0.000695,4.695945945945946e-08,0.195,,,,
75,0.52333559,635.1545182428732,0.000695,4.695945945945946e-08,0.195,,,,
76,0.54722945,664.1544061765992,0.0,0.0,0.195,,,,
77,0.5715069,693.6191496918324,0.0,0.0,0.195,,,,
78,0.58905417,714.9156948373294,0.0,0.0,0.194,,,,
79,0.61468463,746.0225421412034,0.0,0.0,0.193,,,,
80,0.63880167,775.2919063091398,0.000695,4.695945945945946e-08,0.195,,,,
81,0.65986398,800.855235028428,0.0,0.0,0.195,,,,
82,0.57007717,642.6667063595554,49.217227,0.003325488310810811,0.195,,,,
83,0.59909713,674.4082414633936,52.696264,0.0035605583783783782,0.195,,,,
84,0.58908904,661.1819774107986,53.776038,0.003633516081081081,0.195,,,,
85,0.56891247,643.0659722316552,47.404403,0.003203000202702703,0.195,,,,
86,0.56485344,642.3934388657319,43.150625,0.00291558277027027,0.195,,,,
87,0.54348426,618.4289181085726,41.180074,0.0027824374324324323,0.195,,,,
88,0.5289429,605.0982501815324,36.862371,0.0024907007432432436,0.195,,,,
89,0.51133286,590.9455501491217,29.642344,0.002002861081081081,0.195,,,,
90,0.49760051,575.5248870819191,28.396505,0.0019186827702702704,0.195,,,,
91,0.48107846,558.4096837704444,25.459439,0.0017202323648648648,0.195,,,,
92,0.46952209,549.1242601451138,20.719276,0.001399951081081081,0.195,,,,
93,0.45025217,527.9194672861909,18.5368,0.0012524864864864864,0.195,,,,
94,0.43704289,515.4147790943731,15.009819,0.0010141769594594595,0.195,,,,
95,0.4165734,494.8386115340802,10.742839,0.0007258675,0.195,,,,
96,0.41008035,488.73976605527645,8.961283,0.0006054920945945945,0.195,,,,
97,0.38664679,462.2899251100217,6.970582,0.0004709852702702703,0.195,,,,
98,0.36595411,441.0634991788471,3.082982,0.0002083095945945946,0.195,,,,
99,0.35323304,428.70872642561613,-0.00139,-9.391891891891892e-08,0.192,,,,
100,0.32949261,399.8957464424901,-0.00139,-9.391891891891892e-08,0.191,,,,
101,0.3036041,368.475712330936,-0.00139,-9.391891891891892e-08,0.191,,,,
102,0.2805332,340.4753189137694,-0.00139,-9.391891891891892e-08,0.191,,,,
103,0.25878044,314.0747087117745,-0.00139,-9.391891891891892e-08,0.191,,,,
104,0.23804593,288.90991508377664,-0.00139,-9.391891891891892e-08,0.191,,,,
105,0.21260377,258.0316013039718,-0.00139,-9.391891891891892e-08,0.191,,,,
106,0.18980487,230.36132535120709,-0.00139,-9.391891891891892e-08,0.191,,,,
107,0.16900061,205.11118343959882,-0.000695,-4.695945945945946e-08,0.191,,,,
108,0.14648068,177.78017921126133,-0.00139,-9.391891891891892e-08,0.191,,,,
109,0.1211013,146.97805945504155,-0.00139,-9.391891891891892e-08,0.191,,,,
110,0.1001436,121.5423874561619,-0.00139,-9.391891891891892e-08,0.191,,,,
111,0.07976477,96.80996595955548,-0.002085,-1.4087837837837837e-07,0.191,,,,
112,0.05591276,67.86086999599566,-0.00139,-9.391891891891892e-08,0.191,,,,
113,0.03457845,41.96811881230574,-0.00139,-9.391891891891892e-08,0.191,,,,
114,0.02484236,30.15174622411276,-0.00139,-9.391891891891892e-08,0.191,,,,
115,0.02290352,27.798639809844598,-0.00139,-9.391891891891892e-08,0.191,,,,
116,0.02421468,29.389256628319476,-0.000695,-4.695945945945946e-08,0.191,,,,
117,0.05778186,70.1286402633249,-0.000695,-4.695945945945946e-08,0.191,,,,
118,0.07938816,96.35149677474521,-0.000695,-4.695945945945946e-08,0.191,,,,
119,0.10244511,124.33495953518974,-0.000695,-4.695945945945946e-08,0.191,,,,
120,0.12857772,156.05124979770147,-0.000695,-4.695945945945946e-08,0.191,,,,
121,0.1505955,182.77350606740148,-0.000695,-4.695945945945946e-08,0.191,,,,
122,0.17126028,207.8529756851319,0.0,0.0,0.191,,,,
123,0.1940801,235.54933655464401,-0.000695,-4.695945945945946e-08,0.191,,,,
124,0.21805766,264.6494184287026,0.0,0.0,0.191,,,,
125,0.24155399,293.16544726087096,0.000695,4.695945945945946e-08,0.191,,,,
126,0.26021714,315.8169943040767,0.0,0.0,0.191,,,,
127,0.28554771,346.5598749667763,0.0,0.0,0.191,,,,
128,0.3106272,376.99733308182147,0.000695,4.695945945945946e-08,0.191,,,,
129,0.33205217,403.0001153291977,0.000695,4.695945945945946e-08,0.191,,,,
130,0.35165685,426.7936714027647,0.000695,4.695945945945946e-08,0.191,,,,
131,0.37686188,457.38349329163714,0.00139,9.391891891891892e-08,0.191,,,,
132,0.40157173,487.3730264818974,0.00139,9.391891891891892e-08,0.191,,,,
133,0.42162277,511.708315023885,0.00139,9.391891891891892e-08,0.191,,,,
134,0.44311051,537.787974158175,0.000695,4.695945945945946e-08,0.191,,,,
135,0.46819,568.2254322732201,0.00139,9.391891891891892e-08,0.191,,,,
136,0.49170725,596.768241022136,0.000695,4.695945945945946e-08,0.191,,,,
137,0.51090743,620.07017373412,0.00139,9.391891891891892e-08,0.191,,,,
138,0.53602876,650.55910668266,0.00139,9.391891891891892e-08,0.191,,,,
139,0.5594972,679.0419813380557,0.00139,9.391891891891892e-08,0.191,,,,
140,0.58201015,706.3652091696964,0.00139,9.391891891891892e-08,0.191,,,,
141,0.60159392,730.1333874631877,0.00139,9.391891891891892e-08,0.191,,,,
142,0.62582254,759.5388676115577,0.00139,9.391891891891892e-08,0.191,,,,
143,0.65124377,790.3917793379436,0.00139,9.391891891891892e-08,0.191,,,,
144,0.57272739,649.3677873099493,45.732631,0.003090042635135135,0.194,,,,
145,0.59465451,667.2758185159632,54.436825,0.0036781638513513513,0.195,,,,
146,0.59672587,667.9706821007554,56.255903,0.0038010745270270273,0.195,,,,
147,0.58307722,657.5015489738851,50.160118,0.0033891971621621618,0.195,,,,
148,0.57030732,647.9835838537911,44.179675,0.002985113175675676,0.195,,,,
149,0.56179871,640.4203204170835,41.416318,0.0027983998648648646,0.195,,,,
