,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo
123,0.18419756,223.55319541254792,0.001332,9e-08,0.499,,,,,
124,0.20466008,248.38784171281532,0.001374,9.283783783783784e-08,0.501,,,,,
125,0.23069504,279.98562237827247,0.001369,9.25e-08,0.501,,,,,
126,0.25395425,308.21464545617994,0.001285,8.682432432432432e-08,0.501,,,,,
127,0.27421451,332.8037524389845,0.00139,9.391891891891892e-08,0.501,,,,,
128,0.29608584,359.3483251547814,0.001332,9e-08,0.499,,,,,
129,0.32205803,390.86993393332494,0.001317,8.89864864864865e-08,0.501,,,,,
130,0.34475929,418.42166042570653,0.001364,9.216216216216216e-08,0.501,,,,,
131,0.36254369,440.00599246213585,0.001374,9.283783783783784e-08,0.501,,,,,
132,0.38806256,470.9774376489049,0.001343,9.074324324324325e-08,0.501,,,,,
133,0.41206801,500.1120116997362,0.001395,9.425675675675675e-08,0.501,,,,,
134,0.4350622,528.0192897099386,0.00141,9.527027027027027e-08,0.501,,,,,
135,0.37637368,416.87437098972174,39.918,0.002697162162162162,0.501,,,,,
136,0.39040592,429.47483969809906,44.348,0.0029964864864864865,0.501,,,,,
137,0.40948753,445.0565628962812,51.925,0.003508445945945946,0.501,,,,,
138,0.42220861,454.34171978618355,58.079,0.003924256756756757,0.501,,,,,
139,0.42377085,447.7327591523129,66.584,0.0044989189189189194,0.501,,,,,
140,0.44279667,468.3067718602782,69.101,0.0046689864864864865,0.501,,,,,
141,0.45361377,476.73413077271056,73.802,0.004986621621621622,0.501,,,,,
142,0.46254084,478.4546223643947,82.916,0.005602432432432432,0.501,,,,,
143,0.47344163,486.09755308048784,88.503,0.005979932432432432,0.499,,,,,
144,0.47772383,484.8177185439501,94.98,0.0064175675675675675,0.501,,,,,
145,0.48939877,492.36820968308274,101.599,0.006864797297297298,0.499,,,,,
146,0.49727272,502.7165641273004,100.807,0.006811283783783784,0.501,,,,,
147,0.49915578,501.39097218802317,104.418,0.00705527027027027,0.501,,,,,
148,0.48236172,489.3305732754752,96.096,0.0064929729729729735,0.501,,,,,
149,0.47510848,490.1325541670258,86.491,0.005843986486486486,0.501,,,,,
150,0.46752744,483.82869496728586,83.594,0.005648243243243243,0.501,,,,,
151,0.45560143,477.9634884171702,74.985,0.005066554054054054,0.501,,,,,
152,0.44664647,470.47714764871347,71.603,0.00483804054054054,0.501,,,,,
153,0.43544578,463.3772381547742,65.109,0.004399256756756756,0.501,,,,,
154,0.42704178,458.8935794384749,59.393,0.004013040540540541,0.501,,,,,
155,0.41197038,446.8039163760246,53.191,0.0035939864864864865,0.503,,,,,
156,0.39841936,440.07648857286597,43.472,0.002937297297297297,0.501,,,,,
157,0.38571921,427.2997337363824,40.835,0.0027591216216216216,0.501,,,,,
158,0.37681306,422.0506320614456,35.275,0.002383445945945946,0.501,,,,,
159,0.36202062,415.30653358675096,24.066,0.001626081081081081,0.501,,,,,
160,0.34783495,398.4548519277738,23.701,0.0016014189189189189,0.501,,,,,
161,0.33751302,396.84546457728226,12.783,0.0008637162162162162,0.501,,,,,
162,0.32608219,382.06024172577884,13.695,0.0009253378378378379,0.501,,,,,
163,0.32909508,399.4131523409324,-0.001265,-8.547297297297297e-08,0.499,,,,,
164,0.30462235,369.71055490493313,-0.000416,-2.8108108108108106e-08,0.501,,,,,
165,0.28372742,344.3499197929671,0.000729,4.925675675675676e-08,0.499,,,,,
166,0.25910823,314.4714326663932,-0.000286,-1.9324324324324325e-08,0.501,,,,,
167,0.23441233,284.49840913285504,0.000135,9.121621621621622e-09,0.501,,,,,
168,0.21512149,261.08480835718467,0.001077,7.277027027027028e-08,0.501,,,,,
169,0.19206454,233.10154259674016,0.00088,5.9459459459459464e-08,0.501,,,,,
170,0.1676476,203.46750465095772,0.00088,5.9459459459459464e-08,0.501,,,,,
171,0.14504398,176.03350561895914,0.001608,1.0864864864864865e-07,0.501,,,,,
172,0.12509756,151.82533093405132,0.001468,9.918918918918919e-08,0.501,,,,,
