,T,V,V_c,I,P,Mediciones p/s,Fecha,Periodo
50,0.12534175,152.12317191305237,-7.598e-06,-5.133783783783783e-10,0.373,,,
51,0.052029379,63.14635639904554,-8.348e-06,-5.64054054054054e-10,0.373,,,
52,0.023861294,28.959674447366826,-5.798e-06,-3.917567567567568e-10,0.373,,,
53,0.094505917,114.6987279922002,-1.187e-06,-8.02027027027027e-11,0.373,,,
54,0.16593379,201.38838982812467,-7.3e-08,-4.932432432432433e-12,0.373,,,
55,0.24628116,298.9033507494174,2.446e-06,1.6527027027027026e-10,0.374,,,
56,0.31133427,377.85617295453704,2.758e-06,1.8635135135135137e-10,0.372,,,
57,0.38347374,465.4094783163585,2.248e-06,1.5189189189189187e-10,0.372,,,
58,0.45606413,553.5100486157979,3.591e-06,2.4263513513513514e-10,0.373,,,
59,0.52887264,641.8753443376762,4.59e-06,3.101351351351351e-10,0.373,,,
60,0.60104942,729.4739309758096,4.725e-06,3.1925675675675674e-10,0.373,,,
61,0.67391244,817.9053843909544,5.027e-06,3.396621621621622e-10,0.373,,,
62,0.74613535,905.5599526436497,1.0013e-05,6.765540540540541e-10,0.373,,,
63,0.60895532,626.9636168104229,112.10545,0.007574692567567568,0.373,,,
64,0.65018783,656.2165196491181,132.89509,0.008979397972972973,0.373,,,
65,0.6675657,678.596879579653,131.60568,0.008892275675675677,0.373,,,
66,0.63365774,657.5136924537693,111.53589,0.0075362087837837835,0.373,,,
67,0.59887679,634.934305043885,91.902781,0.006209647364864865,0.373,,,
68,0.56306955,610.8148991761294,72.564116,0.00490298081081081,0.373,,,
69,0.52631912,584.7978135905457,53.978412,0.00364719,0.373,,,
70,0.48816572,556.52572540558,35.944972,0.002428714324324324,0.373,,,
71,0.44749173,523.7505439426852,19.355468,0.0013078018918918919,0.373,,,
72,0.40391922,484.3420767764149,5.8814112,0.0003973926486486486,0.373,,,
73,0.35836785,434.93928725059203,-6.14e-07,-4.148648648648649e-11,0.373,,,
74,0.28577653,346.83759135270435,-5.069e-06,-3.425e-10,0.373,,,
75,0.2121913,257.52961610421505,-6.089e-06,-4.114189189189189e-10,0.372,,,
76,0.14064316,170.69398877633753,-5.818e-06,-3.9310810810810813e-10,0.373,,,
77,0.067597741,82.04116494696675,-7.38e-06,-4.986486486486486e-10,0.373,,,
78,0.023737761,28.809746430506685,-5.725e-06,-3.8682432432432434e-10,0.373,,,
79,0.078732975,95.55562505603145,2.08e-07,1.4054054054054054e-11,0.373,,,
80,0.1493464,181.2568181621648,1.27e-06,8.58108108108108e-11,0.373,,,
81,0.22227633,269.7694772142183,2.404e-06,1.6243243243243246e-10,0.373,,,
82,0.29519695,358.270837857119,2.706e-06,1.8283783783783785e-10,0.373,,,
83,0.36694262,445.3462002938468,2.998e-06,2.0256756756756755e-10,0.373,,,
84,0.44046712,534.5804693394055,4.215e-06,2.847972972972973e-10,0.373,,,
85,0.51253724,622.049606124476,4.465e-06,3.0168918918918917e-10,0.373,,,
86,0.58497272,709.9621695979357,3.456e-06,2.3351351351351353e-10,0.373,,,
87,0.65781784,798.3718963001219,5.829e-06,3.938513513513513e-10,0.373,,,
88,0.7310169,887.2111845848609,1.197e-05,8.087837837837838e-10,0.373,,,
89,0.62555588,651.1130811297289,108.10354,0.007304293243243243,0.373,,,
90,0.64248351,651.3061295633069,128.455,0.008679391891891894,0.374,,,
91,0.67353269,680.9513893182979,136.49311,0.009222507432432433,0.373,,,
92,0.64124499,662.2238385265016,116.03414,0.007840144594594594,0.373,,,
93,0.6062028,639.7872837107336,95.94114,0.00648250945945946,0.373,,,
94,0.57117611,616.328410735768,76.88927,0.005195220945945946,0.373,,,
95,0.53481463,591.1343599876076,57.952587,0.003915715337837838,0.373,,,
96,0.4970643,563.4507366202024,39.819875,0.002690532094594595,0.373,,,
97,0.45685563,531.5256677548645,22.945002,0.001550337972972973,0.373,,,
98,0.41381111,493.6563649063498,8.572585,0.0005792287162162162,0.373,,,
99,0.37978182,460.92871672433427,1.821e-06,1.2304054054054053e-10,0.373,,,
100,0.30270006,367.3771216589733,-2.977e-06,-2.0114864864864866e-10,0.373,,,
101,0.22992799,279.0560528109877,-4.819e-06,-3.256081081081081e-10,0.373,,,
102,0.15741802,191.05308478063353,-5.319e-06,-3.593918918918919e-10,0.373,,,
103,0.083568102,101.42386736993242,-7.307e-06,-4.937162162162162e-10,0.373,,,
104,0.019271372,23.389035943622698,-4.84e-06,-3.27027027027027e-10,0.373,,,
105,0.061008316,74.0437886977228,2.19e-07,1.4797297297297298e-11,0.373,,,
106,0.13305088,161.47948068284822,1.457e-06,9.844594594594595e-11,0.373,,,
107,0.20569383,249.64384147361474,2.654e-06,1.7932432432432433e-10,0.373,,,
108,0.27825929,337.7141558420412,3.206e-06,2.1662162162162163e-10,0.373,,,
109,0.35178079,426.9447850201543,3.289e-06,2.2222972972972975e-10,0.373,,,
110,0.42400294,514.5984356948167,3.466e-06,2.341891891891892e-10,0.373,,,
111,0.49645649,602.5329275846505,5.006e-06,3.3824324324324327e-10,0.373,,,
112,0.56898403,690.5572197888046,5.464e-06,3.691891891891892e-10,0.373,,,
113,0.64148728,778.5520325589206,5.381e-06,3.6358108108108107e-10,0.373,,,
114,0.71472233,867.4350056993353,6.547e-06,4.4236486486486487e-10,0.373,,,
115,0.7867269,855.7895543998193,99.035039,0.006691556689189189,0.373,,,
116,0.63460847,646.1395922218974,124.06386,0.008382693243243243,0.373,,,
117,0.66939916,671.8219297498085,140.60584,0.009500394594594595,0.373,,,
118,0.64854651,666.6333334848825,120.48626,0.008140963513513514,0.373,,,
119,0.61450561,645.1452814482726,100.65999,0.006801350675675675,0.373,,,
120,0.57883429,621.4179112193458,81.094251,0.005479341283783783,0.373,,,
121,0.54287042,596.6485966661149,62.215398,0.004203743108108108,0.373,,,
122,0.50482354,569.1440293058113,43.543717,0.0029421430405405405,0.373,,,
123,0.4660005,539.0531290514999,26.516369,0.0017916465540540542,0.373,,,
124,0.42391183,503.25343294691356,11.234429,0.0007590830405405406,0.373,,,
125,0.37887942,459.8335069234952,-1.613e-06,-1.0898648648648649e-10,0.373,,,
126,0.30624365,371.67785859785505,-1.145e-06,-7.736486486486486e-11,0.373,,,
127,0.23335097,283.21041138508457,-5.017e-06,-3.389864864864865e-10,0.373,,,
128,0.16051406,194.8106510861879,-9.586e-06,-6.477027027027026e-10,0.373,,,
129,0.087624193,106.34661290210626,-8.441e-06,-5.703378378378378e-10,0.374,,,
130,0.01910505,23.187173149143835,-1.593e-06,-1.0763513513513513e-10,0.373,,,
